SSID,BSSID,Transmitter MAC,PHY Type,Channel,Frequency,Signal Strength,Signal/Noise Ratio
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-78 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-78 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-78 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-78 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:11,7c:57:3c:17:c7:11,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:12,7c:57:3c:17:c7:12,802.11ac,149,5745MHz,-80 dBm,N/A
<hidden>,7c:57:3c:17:c7:13,7c:57:3c:17:c7:13,802.11ac,149,5745MHz,-79 dBm,N/A
<hidden>,7c:57:3c:17:c7:10,7c:57:3c:17:c7:10,802.11ac,149,5745MHz,-80 dBm,N/A
